"","Florisuga_mellivora","Eutoxeres_aquila","Threnetes_ruckeri","Glaucis_aeneus","Phaethornis_guy","Phaethornis_striigularis","Doryfera_ludovicae","Colibri_thalassinus","Heliodoxa_jacula","Discosura_conversii","Eugenes_fulgens","Lampornis_hemileucus","Lampornis_calolaemus","Selasphorus_scintilla","Selasphorus_flammula","Klais_guimeti","Chalybura_urochrysia","Thalurania_colombica","Elvira_cupreiceps","Eupherusa_nigriventris","Phaeochroa_cuvierii","Amazilia_tzacatl","Amazilia_amabilis","Hylocharis_eliciae"
"Florisuga_mellivora",0,43.16502569,43.165025685,43.165025685,43.1650256849,43.1650256852,44.7710366088,44.7710366092,44.7710366082,44.7710366074,44.7710366085,44.7710366092,44.77103660823,44.7710366086,44.7710366086,44.7710366094,44.771036608,44.7710366089,44.7710366081,44.7710366079,44.7710366088,44.7710366085,44.7710366097,44.7710366089
"Eutoxeres_aquila",43.16502569,0,39.183598897,39.183598897,39.1835988969,39.1835988972,44.7710366148,44.7710366152,44.7710366142,44.7710366134,44.7710366145,44.7710366152,44.77103661423,44.7710366146,44.7710366146,44.7710366154,44.771036614,44.7710366149,44.7710366141,44.7710366139,44.7710366148,44.7710366145,44.7710366157,44.7710366149
"Threnetes_ruckeri",43.165025685,39.183598897,0,15.187598304,26.1050702759,26.1050702762,44.7710366098,44.7710366102,44.7710366092,44.7710366084,44.7710366095,44.7710366102,44.77103660923,44.7710366096,44.7710366096,44.7710366104,44.771036609,44.7710366099,44.7710366091,44.7710366089,44.7710366098,44.7710366095,44.7710366107,44.7710366099
"Glaucis_aeneus",43.165025685,39.183598897,15.187598304,0,26.1050702759,26.1050702762,44.7710366098,44.7710366102,44.7710366092,44.7710366084,44.7710366095,44.7710366102,44.77103660923,44.7710366096,44.7710366096,44.7710366104,44.771036609,44.7710366099,44.7710366091,44.7710366089,44.7710366098,44.7710366095,44.7710366107,44.7710366099
"Phaethornis_guy",43.1650256849,39.1835988969,26.1050702759,26.1050702759,0,15.5459313961,44.7710366097,44.7710366101,44.7710366091,44.7710366083,44.7710366094,44.7710366101,44.77103660913,44.7710366095,44.7710366095,44.7710366103,44.7710366089,44.7710366098,44.771036609,44.7710366088,44.7710366097,44.7710366094,44.7710366106,44.7710366098
"Phaethornis_striigularis",43.1650256852,39.1835988972,26.1050702762,26.1050702762,15.5459313961,0,44.77103661,44.7710366104,44.7710366094,44.7710366086,44.7710366097,44.7710366104,44.77103660943,44.7710366098,44.7710366098,44.7710366106,44.7710366092,44.7710366101,44.7710366093,44.7710366091,44.77103661,44.7710366097,44.7710366109,44.7710366101
"Doryfera_ludovicae",44.7710366088,44.7710366148,44.7710366098,44.7710366098,44.7710366097,44.77103661,0,25.5762779124,40.1460070914,40.1460070906,40.1460070917,40.1460070924,40.14600709143,40.1460070918,40.1460070918,40.1460070926,40.1460070912,40.1460070921,40.1460070913,40.1460070911,40.146007092,40.1460070917,40.1460070929,40.1460070921
"Colibri_thalassinus",44.7710366092,44.7710366152,44.7710366102,44.7710366102,44.7710366101,44.7710366104,25.5762779124,0,40.1460070918,40.146007091,40.1460070921,40.1460070928,40.14600709183,40.1460070922,40.1460070922,40.146007093,40.1460070916,40.1460070925,40.1460070917,40.1460070915,40.1460070924,40.1460070921,40.1460070933,40.1460070925
"Heliodoxa_jacula",44.7710366082,44.7710366142,44.7710366092,44.7710366092,44.7710366091,44.7710366094,40.1460070914,40.1460070918,0,31.0024331234,32.7092622791,32.7092622798,32.70926227883,32.7092622792,32.7092622792,32.70926228,32.7092622786,32.7092622795,32.7092622787,32.7092622785,32.7092622794,32.7092622791,32.7092622803,32.7092622795
"Discosura_conversii",44.7710366074,44.7710366134,44.7710366084,44.7710366084,44.7710366083,44.7710366086,40.1460070906,40.146007091,31.0024331234,0,32.7092622783,32.709262279,32.70926227803,32.7092622784,32.7092622784,32.7092622792,32.7092622778,32.7092622787,32.7092622779,32.7092622777,32.7092622786,32.7092622783,32.7092622795,32.7092622787
"Eugenes_fulgens",44.7710366085,44.7710366145,44.7710366095,44.7710366095,44.7710366094,44.7710366097,40.1460070917,40.1460070921,32.7092622791,32.7092622783,0,20.3049325521,20.30493255113,23.0485260055,23.0485260055,27.7212991023,27.7212991009,27.7212991018,27.721299101,27.7212991008,27.7212991017,27.7212991014,27.7212991026,27.7212991018
"Lampornis_hemileucus",44.7710366092,44.7710366152,44.7710366102,44.7710366102,44.7710366101,44.7710366104,40.1460070924,40.1460070928,32.7092622798,32.709262279,20.3049325521,0,19.02102396903,23.0485260062,23.0485260062,27.721299103,27.7212991016,27.7212991025,27.7212991017,27.7212991015,27.7212991024,27.7212991021,27.7212991033,27.7212991025
"Lampornis_calolaemus",44.77103660823,44.77103661423,44.77103660923,44.77103660923,44.77103660913,44.77103660943,40.14600709143,40.14600709183,32.70926227883,32.70926227803,20.30493255113,19.02102396903,0,23.04852600523,23.04852600523,27.72129910203,27.72129910063,27.72129910153,27.72129910073,27.72129910053,27.72129910143,27.72129910113,27.72129910233,27.72129910153
"Selasphorus_scintilla",44.7710366086,44.7710366146,44.7710366096,44.7710366096,44.7710366095,44.7710366098,40.1460070918,40.1460070922,32.7092622792,32.7092622784,23.0485260055,23.0485260062,23.04852600523,0,0.8030173732,27.7212991024,27.721299101,27.7212991019,27.7212991011,27.7212991009,27.7212991018,27.7212991015,27.7212991027,27.7212991019
"Selasphorus_flammula",44.7710366086,44.7710366146,44.7710366096,44.7710366096,44.7710366095,44.7710366098,40.1460070918,40.1460070922,32.7092622792,32.7092622784,23.0485260055,23.0485260062,23.04852600523,0.8030173732,0,27.7212991024,27.721299101,27.7212991019,27.7212991011,27.7212991009,27.7212991018,27.7212991015,27.7212991027,27.7212991019
"Klais_guimeti",44.7710366094,44.7710366154,44.7710366104,44.7710366104,44.7710366103,44.7710366106,40.1460070926,40.146007093,32.70926228,32.7092622792,27.7212991023,27.721299103,27.72129910203,27.7212991024,27.7212991024,0,24.8662345198,24.8662345207,24.8662345199,24.8662345197,24.8662345206,24.8662345203,24.8662345215,24.8662345207
"Chalybura_urochrysia",44.771036608,44.771036614,44.771036609,44.771036609,44.7710366089,44.7710366092,40.1460070912,40.1460070916,32.7092622786,32.7092622778,27.7212991009,27.7212991016,27.72129910063,27.721299101,27.721299101,24.8662345198,0,9.9928058769,11.3091780745,11.3091780743,22.6673353652,22.6673353649,22.6673353661,22.6673353653
"Thalurania_colombica",44.7710366089,44.7710366149,44.7710366099,44.7710366099,44.7710366098,44.7710366101,40.1460070921,40.1460070925,32.7092622795,32.7092622787,27.7212991018,27.7212991025,27.72129910153,27.7212991019,27.7212991019,24.8662345207,9.9928058769,0,11.3091780754,11.3091780752,22.6673353661,22.6673353658,22.667335367,22.6673353662
"Elvira_cupreiceps",44.7710366081,44.7710366141,44.7710366091,44.7710366091,44.771036609,44.7710366093,40.1460070913,40.1460070917,32.7092622787,32.7092622779,27.721299101,27.7212991017,27.72129910073,27.7212991011,27.7212991011,24.8662345199,11.3091780745,11.3091780754,0,6.4932590304,22.6673353653,22.667335365,22.6673353662,22.6673353654
"Eupherusa_nigriventris",44.7710366079,44.7710366139,44.7710366089,44.7710366089,44.7710366088,44.7710366091,40.1460070911,40.1460070915,32.7092622785,32.7092622777,27.7212991008,27.7212991015,27.72129910053,27.7212991009,27.7212991009,24.8662345197,11.3091780743,11.3091780752,6.4932590304,0,22.6673353651,22.6673353648,22.667335366,22.6673353652
"Phaeochroa_cuvierii",44.7710366088,44.7710366148,44.7710366098,44.7710366098,44.7710366097,44.77103661,40.146007092,40.1460070924,32.7092622794,32.7092622786,27.7212991017,27.7212991024,27.72129910143,27.7212991018,27.7212991018,24.8662345206,22.6673353652,22.6673353661,22.6673353653,22.6673353651,0,20.1175021657,20.1175021669,20.1175021661
"Amazilia_tzacatl",44.7710366085,44.7710366145,44.7710366095,44.7710366095,44.7710366094,44.7710366097,40.1460070917,40.1460070921,32.7092622791,32.7092622783,27.7212991014,27.7212991021,27.72129910113,27.7212991015,27.7212991015,24.8662345203,22.6673353649,22.6673353658,22.667335365,22.6673353648,20.1175021657,0,12.1316834912,12.1316834904
"Amazilia_amabilis",44.7710366097,44.7710366157,44.7710366107,44.7710366107,44.7710366106,44.7710366109,40.1460070929,40.1460070933,32.7092622803,32.7092622795,27.7212991026,27.7212991033,27.72129910233,27.7212991027,27.7212991027,24.8662345215,22.6673353661,22.667335367,22.6673353662,22.667335366,20.1175021669,12.1316834912,0,9.4699679496
"Hylocharis_eliciae",44.7710366089,44.7710366149,44.7710366099,44.7710366099,44.7710366098,44.7710366101,40.1460070921,40.1460070925,32.7092622795,32.7092622787,27.7212991018,27.7212991025,27.72129910153,27.7212991019,27.7212991019,24.8662345207,22.6673353653,22.6673353662,22.6673353654,22.6673353652,20.1175021661,12.1316834904,9.4699679496,0
